CASENUM,VEH_NO,MDRDSTRD
201310735995,2,0
201310736069,1,0
201310736088,1,0
201310736092,1,0
201310736092,2,1
201310736106,1,0
201310736106,2,0
201310736122,1,0
201310736130,1,0
201310736130,2,0
201310736132,1,0
201310736132,2,0
201310736278,1,0
201310736315,1,1
201310736345,1,0
201310736345,2,0
201310736356,1,0
201310736356,2,0
201310736373,1,1
201310736474,1,0
201310736474,2,0
201310736569,1,17
201311101429,1,0
201311101429,2,0
201311101431,1,17
201311101431,2,0
201311101488,1,0
201311101488,2,0
201311101488,3,17
201311101489,1,0
201311101512,1,1
201311101512,2,0
201311101515,1,0
201311101515,2,0
201311101515,3,0
201311101515,4,0
201311101522,1,17
201311101522,2,0
201311101522,3,0
201311101541,1,0
201311101541,2,17
201311101542,1,0
201311101542,2,1
201311101546,1,0
201311101546,2,0
201311101610,1,1
201311101622,2,0
201311101622,3,0
201311101628,1,10
201311101628,1,13
201311101628,2,0
201311101631,1,0
201311101631,2,0
201311101663,1,0
201311101663,2,0
201311101668,1,17
201311101671,1,0
201311101671,2,1
201311101676,2,0
201311101682,1,1
201311101682,2,0
201311101730,1,0
201311101730,2,0
201311101778,1,0
201311101778,2,0
201311101804,1,0
201311101804,2,1
201311101806,1,0
201311101806,2,1
201311101840,1,0
201311101840,2,0
201311101863,1,0
201311101863,2,0
201311101866,1,0
201311101866,2,0
201311101881,1,0
201311101881,2,0
201311101889,1,17
201311101889,2,0
201311101906,1,0
201311101906,2,0
201311101909,1,0
201311101909,2,0
201311101915,1,0
201311101915,2,0
201311101916,1,0
201311101916,2,0
201311101923,1,0
201311101923,2,0
201311101927,1,19
201311101927,2,0
201311101955,1,0
