CASENUM,PER_NO,MTM_CRSH
201328242036,1,0
201328242538,1,2
201328242538,1,6
201328242538,2,2
201328242538,2,6
201328242937,1,4
201328242957,1,0
201328243278,1,21
201328243550,1,0
201328243568,1,0
201328244066,1,2
201328244066,1,3
201328244356,1,0
201328312924,1,2
201328312982,1,0
201328313113,1,0
201328313339,1,0
201328313663,1,0
201328313730,1,2
201328313730,1,19
201328314141,1,0
201328314308,1,2
201328314368,1,1
201328314368,1,2
201328314385,1,2
201328314462,1,1
201328314462,1,2
201328314483,1,2
201328314628,1,1
201328314628,1,2
201328314679,1,0
201328314816,1,0
201328315137,1,2
201328315137,1,12
201328315137,1,19
201328315696,1,1
201328315696,1,2
201328315945,1,1
201328315945,1,2
201328315955,1,1
201328315955,1,2
201328316010,1,1
201328316010,1,2
201328316543,1,2
201328316598,1,0
201328316634,1,2
201328424582,1,1
201328424582,1,3
201328424607,1,2
201328424607,1,3
201328425465,1,2
201328425493,1,0
201328425889,1,2
201328425889,1,3
201328426096,1,2
201328426355,1,19
201328426442,1,1
201328426442,1,2
201328426579,1,2
201328426730,1,2
201328426730,1,19
201328426763,1,0
201328427146,1,0
201328427198,1,0
201328427576,1,1
201328427650,1,2
201328427650,1,13
201328427650,1,14
201328427650,1,19
201328427668,1,9
201328427704,1,2
201328427704,1,12
201328427787,1,2
201328427787,1,3
201328427837,1,0
201328427878,1,1
201328428284,1,9
201328532966,1,1
201328533174,1,4
201328533174,2,4
201328533289,1,0
201328533326,1,2
201328533326,1,12
201328533580,1,0
201328533939,1,1
201328533939,1,2
201328533989,1,0
201328534170,1,0
201328534275,1,13
201328534275,1,15
201328534288,1,2
201328534288,1,12
201328534645,1,0
201328535010,1,1
201328535507,1,0
201328535606,1,0
201328535606,2,0
201328535606,3,0
201328535606,4,0
201328535773,1,1
201328536688,1,0
201328537354,1,2
201328537493,1,2
201328537755,1,0
201328537773,1,0
201328537997,1,1
201328538224,1,0
201328539216,1,0
201328539394,1,0
201328539394,2,0
201328539664,1,1
201328539939,1,1
201328539945,1,0
201328540620,1,13
201328540620,1,14
201328540620,1,19
201328541022,1,0
201328541061,1,0
201328541255,1,0
201328541616,1,0
201328542020,1,1
201328542020,1,2
201328542117,1,0
201328542176,1,1
201328542715,1,0
201328543621,1,2
201328543824,1,19
201328543847,1,1
201328543847,1,2
201328544349,1,0
201328544672,1,0
201328717262,1,0
201328717340,1,0
201328717948,1,1
201328718498,1,4
201328718969,1,0
