CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201413081221	0	1	3	3	16	9	8	8	28.514682
201413081227	0	1	3	3	16	9	8	8	28.514682
201413081417	0	1	3	3	13	9	8	8	25.619584
201413081419	0	1	3	3	13	9	8	8	25.619584
201413081486	0	1	3	3	5	9	8	8	15.17718
201413081526	0	1	3	3	3	9	8	2	15.17718
201413081608	0	1	3	3	4	9	8	1	15.17718
201413081637	0	1	3	3	13	9	8	8	25.619584
201413081669	0	1	3	3	5	9	8	8	15.17718
201413081701	0	1	3	3	3	9	8	8	15.17718
201413081822	0	1	3	3	1	9	8	8	15.17718
201413081822	0	2	3	3	1	9	8	8	15.17718
201413081870	0	1	3	5	5	9	8	1	65.76778
201413081900	0	1	3	3	4	9	8	8	15.17718
201413081934	0	1	3	3	1	9	8	1	15.17718
201413082214	0	1	3	3	5	9	8	1	15.17718
201413568242	0	1	2	3	3	11	6	8	19.0507
201413568324	0	1	2	3	3	11	6	8	19.0507
201413568340	0	1	2	3	3	11	6	8	19.0507
201413568801	0	1	2	3	3	11	6	8	19.0507
201413568936	0	1	2	3	3	11	6	8	19.0507
201413569167	0	1	2	3	3	11	6	8	19.0507
201413569387	0	1	2	3	3	11	6	8	19.0507
201413569801	0	1	2	3	3	11	6	8	19.0507
201413570172	0	1	2	3	3	11	6	8	19.0507
201413570182	0	1	2	3	3	11	6	2	19.0507
201413570182	0	1	2	3	3	11	6	3	19.0507
201413570182	0	1	2	3	3	11	6	5	19.0507
201413570267	0	1	2	2	16	11	6	8	57.1521
201413570574	0	1	2	3	16	11	6	8	19.0507
201413570984	0	1	2	3	6	11	6	8	19.0507
201413571169	0	1	2	3	3	11	6	8	19.0507
201413571170	0	1	2	3	3	11	6	8	19.0507
201413571181	0	1	2	3	3	11	6	8	19.0507
201413571191	0	1	2	3	3	11	6	2	19.0507
201413571363	0	1	2	3	3	11	6	2	19.0507
201413571713	0	1	2	3	3	11	6	8	19.0507
201413571733	0	1	2	3	3	11	6	8	19.0507
201413572439	0	1	2	3	3	11	6	8	19.0507
201413572489	0	1	2	3	1	11	6	8	19.0507
201413572597	0	1	2	3	5	11	6	8	19.0507
201413573140	0	1	2	3	2	11	6	8	19.0507
201413573157	0	1	2	3	5	11	6	8	19.0507
201413573278	0	1	2	3	5	11	6	2	19.0507
201413573360	0	1	2	3	1	11	6	8	19.0507
201413573427	0	1	2	3	3	11	6	8	19.0507
201413573678	0	1	2	3	3	11	6	8	19.0507
201413573895	0	1	2	3	1	11	6	8	19.0507
201414092562	0	1	2	3	9	12	5	8	20.78755
201414092765	0	1	2	3	5	12	5	8	12.211288
201414092897	0	1	2	4	1	12	5	8	239.4988
201414094440	0	1	2	3	9	12	5	8	20.78755
201414094725	0	1	2	3	5	12	5	8	12.211288
201414097540	0	1	2	3	14	12	5	8	83.684662
201414100421	0	1	1	3	11	6	1	2	8.941356
201414100492	0	1	1	3	11	6	1	8	8.941356
201414100494	0	1	1	3	2	6	1	8	13.8125
201414100538	0	1	1	3	11	6	1	8	8.941356
201414100556	0	1	1	3	20	6	1	8	14.820011
201414100556	0	2	1	3	20	6	1	8	14.820011
201414100561	0	1	1	3	20	6	1	8	14.820011
201414100576	0	1	1	3	14	6	1	8	11.62076
201414100579	0	1	1	3	14	6	1	8	11.62076
201414100659	0	1	1	3	7	6	1	8	10.975026
201414100772	0	1	1	3	4	6	1	8	11.492
201414100801	0	1	1	3	11	6	1	9	8.941356
201414100864	0	1	1	3	11	6	1	8	8.941356
201414100879	0	1	1	3	20	6	1	8	14.820011
201414100881	0	1	1	3	20	6	1	8	14.820011
